Date           Open    High    Low     Close   Volume        Vol in 1Adj Close
     11/21/1962   60.45   61.18   60.19   60.81       5100000     510   60.81
     11/23/1962   60.81   62.03   60.66   61.54       5660000     566   61.54
     11/26/1962   61.54   62.13   60.95   61.36       5650000     565   61.36
     11/27/1962   61.36   62.04   60.98   61.73       5500000     550   61.73
     11/28/1962   61.73   62.48   61.51   62.12       5980000     598   62.12
     11/29/1962   62.12   62.72   61.69   62.41       5810000     581   62.41
     11/30/1962   62.41   62.78   61.78   62.26       4570000     457   62.26
      12/3/1962   62.26   62.45   61.28   61.94       3810000     381   61.94
      12/4/1962   61.94   62.93   61.77   62.64       5210000     521   62.64
      12/5/1962   62.64    63.5   62.37   62.39       6280000     628   62.39
      12/6/1962   62.39   63.36   62.28   62.93       4600000     460   62.93
      12/7/1962   62.93   63.43   62.45   63.06       3900000     390   63.06
     12/10/1962   63.06   63.35   61.96   62.27       4270000     427   62.27
     12/11/1962   62.27   62.58   61.72   62.32       3700000     370   62.32
     12/12/1962   62.32   63.16   62.13   62.63       3760000     376   62.63
     12/13/1962   62.63   63.07   62.09   62.42       3380000     338   62.42
     12/14/1962   62.42   62.83   61.96   62.57       3280000     328   62.57
     12/17/1962   62.57   62.95   62.14   62.37       3590000     359   62.37
     12/18/1962   62.37   62.66   61.78   62.07       3620000     362   62.07
     12/19/1962   62.07   62.81   61.72   62.58       4000000     400   62.58
     12/20/1962   62.58   63.28   62.44   62.82       4220000     422   62.82
     12/21/1962   62.82   63.13   62.26   62.64       3470000     347   62.64
     12/24/1962   62.64   63.03   62.19   62.63       3180000     318   62.63
     12/26/1962   62.63   63.32   62.56   63.02       3370000     337   63.02
     12/27/1962   63.02   63.41   62.67   62.93       3670000     367   62.93
     12/28/1962   62.93   63.25   62.53   62.96       4140000     414   62.96
     12/31/1962   62.96   63.43   62.68    63.1       5420000     542    63.1
       1/2/1963    63.1   63.39   62.32   62.69       2540000     254   62.69
       1/3/1963   62.69   63.89   62.67   63.72       4570000     457   63.72
       1/4/1963   63.72   64.45   63.57   64.13       5400000     540   64.13
       1/7/1963   64.13   64.59   63.67   64.12       4440000     444   64.12
       1/8/1963   64.12   64.98      64   64.74       5410000     541   64.74
       1/9/1963   64.74   65.22   64.32   64.59       5110000     511   64.59
      1/10/1963   64.59   65.16   64.33   64.71       4520000     452   64.71
      1/11/1963   64.71    65.1   64.31   64.85       4410000     441   64.85
      1/14/1963   64.85    65.5   64.61    65.2       5000000     500    65.2
      1/15/1963    65.2   65.62   64.82   65.11       5930000     593   65.11
      1/16/1963   65.11   65.25   64.42   64.67       4260000     426   64.67
      1/17/1963   64.67    65.4   64.35   65.13       5230000     523   65.13
      1/18/1963   65.13    65.7   64.86   65.18       4760000     476   65.18
      1/21/1963   65.18   65.52   64.64   65.28       4090000     409   65.28
      1/22/1963   65.28    65.8   65.03   65.44       4810000     481   65.44
      1/23/1963   65.44   65.91   65.23   65.62       4820000     482   65.62
      1/24/1963   65.62   66.09   65.33   65.75       4810000     481   65.75
      1/25/1963   65.75   66.23   65.38   65.92       4770000     477   65.92
      1/28/1963   65.92   66.59   65.77   66.24       4720000     472   66.24
      1/29/1963   66.24   66.58   65.83   66.23       4360000     436   66.23
      1/30/1963   66.23   66.33   65.55   65.85       3740000     374   65.85
      1/31/1963   65.85   66.45   65.51    66.2       4270000     427    66.2
       2/1/1963   66.31   66.31   66.31   66.31       4280000     428   66.31
       2/4/1963   66.31   66.66   65.89   66.17       3670000     367   66.17
       2/5/1963   66.17   66.35   65.38   66.11       4050000     405   66.11
       2/6/1963   66.11   66.76   65.88    66.4       4340000     434    66.4
       2/7/1963    66.4   66.81   65.91   66.17       4240000     424   66.17
       2/8/1963   66.17   66.45   65.65   66.17       3890000     389   66.17
      2/11/1963   66.17   66.41    65.5   65.76       3880000     388   65.76
      2/12/1963   65.76   66.01   65.16   65.83       3710000     371   65.83
      2/13/1963   65.83   66.53   65.56   66.15       4960000     496   66.15
      2/14/1963   66.15   66.75   65.93   66.35       5640000     564   66.35
      2/15/1963   66.35   66.74   65.96   66.41       4410000     441   66.41
      2/18/1963   66.41   66.96    66.1   66.52       4700000     470   66.52
      2/19/1963   66.52   66.67   65.92    66.2       4130000     413    66.2
      2/20/1963    66.2   66.28   65.44   65.83       4120000     412   65.83
      2/21/1963   65.83   66.23   65.36   65.92       3980000     398   65.92
      2/25/1963   65.92   66.09   65.24   65.46       3680000     368   65.46
      2/26/1963   65.46   65.86   65.06   65.47       3670000     367   65.47
      2/27/1963   65.47   65.74   64.86   65.01       3680000     368   65.01
      2/28/1963   65.01   65.14   64.08   64.29       4090000     409   64.29
       3/1/1963   64.29   64.75    63.8    64.1       3920000     392    64.1
       3/4/1963    64.1   65.08   63.88   64.72       3650000     365   64.72
       3/5/1963   64.72   65.27   64.41   64.74       3280000     328   64.74
       3/6/1963   64.74   65.06   64.31   64.85       3100000     310   64.85
       3/7/1963   64.85    65.6   64.81   65.26       3350000     335   65.26
       3/8/1963   65.26   65.74   65.03   65.33       3360000     336   65.33
      3/11/1963   65.33   65.86   65.11   65.51       3180000     318   65.51
      3/12/1963   65.51   65.97   65.26   65.67       3350000     335   65.67
      3/13/1963   65.67   66.27   65.54   65.91       4120000     412   65.91
      3/14/1963   65.91   66.21   65.39    65.6       3540000     354    65.6
      3/15/1963    65.6   66.22   65.39   65.93       3400000     340   65.93
