Date Open High Low Close Volume AdjClose TrainTest 
9/12/1962 58.59 59.06 58.4 58.84 310 58.84 train
9/13/1962 58.84 59.18 58.46 58.7 310 58.7 test
9/14/1962 58.7 59.14 58.4 58.89 288 58.89 train
9/17/1962 58.89 59.42 58.65 59.08 333 59.08 train
9/18/1962 59.08 59.54 58.77 59.03 369 59.03 test
9/19/1962 59.03 59.26 58.59 58.95 295 58.95 train
9/20/1962 58.95 59.29 58.33 58.54 335 58.54 train
9/21/1962 58.54 58.64 57.43 57.69 428 57.69 train
9/24/1962 57.45 57.45 56.3 56.63 500 56.63 train
9/25/1962 56.63 57.22 56.12 56.96 362 56.96 train
9/26/1962 56.96 57.29 55.92 56.15 355 56.15 train
9/27/1962 56.15 56.55 55.53 55.77 354 55.77 train
9/28/1962 55.77 56.58 55.59 56.27 285 56.27 train
10/1/1962 56.27 56.31 55.26 55.49 309 55.49 train
10/2/1962 55.49 56.46 55.31 56.1 300 56.1 train
10/3/1962 56.1 56.71 55.84 56.16 261 56.16 train
10/4/1962 56.16 56.84 55.9 56.7 253 56.7 test
10/5/1962 56.7 57.3 56.55 57.07 273 57.07 test
10/8/1962 57.07 57.41 56.68 57.07 195 57.07 train
10/9/1962 57.07 57.4 56.71 57.2 234 57.2 train
10/10/1962 57.2 57.83 56.96 57.24 304 57.24 test
10/11/1962 57.24 57.46 56.78 57.05 246 57.05 train
10/12/1962 57.05 57.21 56.66 56.95 202 56.95 train
10/15/1962 56.95 57.5 56.66 57.27 264 57.27 train
10/16/1962 57.27 57.63 56.87 57.08 286 57.08 train
10/17/1962 57.08 57.23 56.37 56.89 324 56.89 train
10/18/1962 56.89 57.02 56.18 56.34 328 56.34 train
10/19/1962 56.34 56.54 55.34 55.59 465 55.59 train
10/22/1962 55.48 55.48 54.38 54.96 569 54.96 test
10/23/1962 54.96 55.19 53.24 53.49 611 53.49 train
10/24/1962 53.49 55.44 52.55 55.21 672 55.21 test
10/25/1962 55.17 55.17 53.82 54.69 395 54.69 train
10/26/1962 54.69 54.96 54.08 54.54 258 54.54 train
10/29/1962 55.34 56.38 55.34 55.72 428 55.72 train
10/30/1962 55.72 56.84 55.52 56.54 383 56.54 train
10/31/1962 56.54 57.0 56.19 56.52 309 56.52 train
11/1/1962 56.52 57.31 55.9 57.12 340 57.12 train
11/2/1962 57.12 58.19 56.78 57.75 547 57.75 train
